no,BanglaName,EnglishName,OrganizationType,EnglishParent,BanglaParent,domainname
230,দি সিকিউরিটি প্রিন্টিং করপোরেশন (বাংলাদেশ) লিঃ,The Security Printing Corporation (Bangladesh) Ltd.,Others,Financial Institutions Division,আর্থিক প্রতিষ্ঠান বিভাগ,spcbl.org.bd
231,দি ইউনাইটেড আরব আমিরাত-বাংলাদেশ ইনভেস্টমেন্ট কোম্পানি (ইউবিকো),The UAE-Bangladesh Investment Company Limited: UBICO,Others,Financial Institutions Division,আর্থিক প্রতিষ্ঠান বিভাগ,ubinco.com
232,অভ্যন্তরীণ সম্পদ বিভাগ,Internal Resources Division,Division,"Finance Division, Ministry of Finance","অর্থ বিভাগ, অর্থ মন্ত্রণালয়",ird.gov.bd
233,জাতীয় সঞ্চয় অধিদপ্তর,Department of National Savings,Directorate,Internal Resources Division,অভ্যন্তরীণ সম্পদ বিভাগ,nationalsavings.gov.bd
234,"কাস্টমস, এক্সাইজ ও ভ্যাট (আপীল) কমিশনারেট, ঢাকা-১","Customs, Excise & VAT (Appeal) Commissionerate, Dhaka-1",Others,Internal Resources Division,অভ্যন্তরীণ সম্পদ বিভাগ,ceva1.gov.bd
235,"কাস্টমস, এক্সাইজ এবং মূল্য সংযোজন কর আপিল ট্রাইব্যুনাল","Customs, Excise and Value Added Tax Appellate Tribunal",Others,Internal Resources Division,অভ্যন্তরীণ সম্পদ বিভাগ,cevt.gov.bd
236,জাতীয় রাজস্ব বোর্ড,National Board of Revenue (NBR),Others,Internal Resources Division,অভ্যন্তরীণ সম্পদ বিভাগ,nbr.portal.gov.bd
237,ট্যাকসেস আপীলাত ট্রাইবুনাল,Taxes Appellate Tribunal,Others,Internal Resources Division,অভ্যন্তরীণ সম্পদ বিভাগ,tat.gov.bd
238,পররাষ্ট্র মন্ত্রণালয়,Ministry of Foreign Affairs,Ministry/Division,,,mofa.gov.bd
239,বিআইএলআইএ,BANGLADESH INSTITUTE OF LAW AND INTERNATIONAL AFFAIRS (BILIA),Others,Ministry of Foreign Affairs,পররাষ্ট্র মন্ত্রণালয়,biliabd.org
240,বিআইএসএস,Bangladesh Institute of International and Strategic Studies,Others,Ministry of Foreign Affairs,পররাষ্ট্র মন্ত্রণালয়,biiss.org
241,"ফরেন সার্ভিস একাডেমি, বাংলাদেশ","Foreign Service Academy, Bangladesh",Others,Ministry of Foreign Affairs,পররাষ্ট্র মন্ত্রণালয়,fsa.gov.bd
242,স্বাস্থ্য ও পরিবার কল্যাণ মন্ত্রণালয়,Ministry of Health & Family Welfare,Ministry/Division,,,mohfw.gov.bd
243,স্বাস্থ্য সেবা বিভাগ,Health Services Division,Division,Ministry of Health & Family Welfare,স্বাস্থ্য ও পরিবার কল্যাণ মন্ত্রণালয়,hsd.gov.bd
244,ঔষধ প্রশাসন অধিদপ্তর,Directorate General of Drug Administration (DGDA),Directorate,Health Services Division,স্বাস্থ্য সেবা বিভাগ,dgda.gov.bd
245,স্বাস্থ্য অধিদপ্তর,Directorate General of Health Services (DGHS),Directorate,Health Services Division,স্বাস্থ্য সেবা বিভাগ,dghs.gov.bd
246,নার্সিং ও মিডওয়াইফারি অধিদপ্তর,Directorate General of Nursing and Midwifery,Directorate,Health Services Division,স্বাস্থ্য সেবা বিভাগ,dgnm.gov.bd
247,স্বাস্থ্য প্রকৌশল অধিদপ্তর,Health Engineering Department (HED),Directorate,Health Services Division,স্বাস্থ্য সেবা বিভাগ,hed.gov.bd
248,কমিউনিটি ক্লিনিক স্বাস্থ্য সহায়তা ট্রাষ্ট,Community Clinic Health Support Trust,Others,Health Services Division,স্বাস্থ্য সেবা বিভাগ,communityclinic.portal.gov.bd
249,এসেনসিয়াল ড্রাগস্ কোম্পানী লিমিটেড,ESSENTIAL DRUGS COMPANY LIMITED,Others,Health Services Division,স্বাস্থ্য সেবা বিভাগ,edcl.gov.bd
250,স্বাস্থ্য অর্থনীতি ইউনিট,Health Economics Unit,Others,Health Services Division,স্বাস্থ্য সেবা বিভাগ,heu.gov.bd
